Tempo;Acel
54.101;0.01207095
54.102;-0.000403904
54.103;-0.010045662
54.104;-0.019145034
54.105;-0.024372702
54.106;-0.02742506
54.107;-0.027978987
54.108;-0.027298119
54.109;-0.024540035
54.11;-0.021037612
54.111;-0.016611982
54.112;-0.011251603
54.113;-0.006237427
54.114;-0.004489101
54.115;-0.001673315
54.116;-0.00111362
54.117;-0.001448283
54.118;-0.002625374
54.119;-0.00654901
54.12;-0.013340362
54.121;-0.020708719
54.122;-0.029554211
54.123;-0.041128937
54.124;-0.052322838
54.125;-0.062680081
54.126;-0.068536684
54.127;-0.072696894
54.128;-0.075795412
54.129;-0.078207292
54.13;-0.079032414
54.131;-0.075835802
54.132;-0.069090612
54.133;-0.057798617
54.134;-0.04483908
54.135;-0.034926128
54.136;-0.024430403
54.137;-0.011286223
54.138;0.001777176
54.139;0.014500142
54.14;0.027511612
54.141;0.040101867
54.142;0.05028601
54.143;0.058716055
54.144;0.064087972
54.145;0.067861587
54.146;0.068600155
54.147;0.066107497
54.148;0.062512748
54.149;0.056985039
54.15;0.050251391
54.151;0.042796481
54.152;0.034274112
54.153;0.025907537
54.154;0.018706512
54.155;0.009497507
54.156;0.004154438
54.157;-0.000559695
54.158;-0.004644893
54.159;-0.005671962
54.16;-0.00444294
54.161;-0.001650235
54.162;0.002296481
54.163;0.007726101
54.164;0.013525004
54.165;0.018585339
54.166;0.023778386
54.167;0.03069091
54.168;0.035912808
54.169;0.041746333
54.17;0.044723678
54.171;0.045693047
54.172;0.044458255
54.173;0.042306028
54.174;0.040355749
54.175;0.039767202
54.176;0.037822697
54.177;0.035278104
54.178;0.032202665
54.179;0.027673174
54.18;0.024551574
54.181;0.020022083
54.182;0.017558271
54.183;0.01319034
54.184;0.010086052
54.185;0.00766263
54.186;0.005043026
54.187;0.004292919
54.188;0.005043026
54.189;0.008453127
54.19;0.01424626
54.191;0.021037612
54.192;0.029409958
54.193;0.038561262
54.194;0.046241201
54.195;0.055900272
54.196;0.063712925
54.197;0.070556208
54.198;0.077272549
54.199;0.081126943
54.2;0.083175309
54.201;0.082517527
54.202;0.079661347
54.203;0.075518452
54.204;0.069615684
54.205;0.060181651
54.206;0.047816426
54.207;0.034447215
54.208;0.01968742
54.209;0.006473999
54.21;-0.004719903
54.211;-0.016767774
54.212;-0.027967446
54.213;-0.039501783
54.214;-0.050228309
54.215;-0.058329463
54.216;-0.064468801
54.217;-0.066401765
54.218;-0.065126583
54.219;-0.062460821
54.22;-0.058087122
54.221;-0.049876336
54.222;-0.04148091
54.223;-0.032139193
54.224;-0.020916441
54.225;-0.013986608
54.226;-0.010541886
54.227;-0.010720758
54.228;-0.016150378
54.229;-0.022670537
54.23;-0.032248825
54.231;-0.044735219
54.232;-0.05927575
54.233;-0.074924134
54.234;-0.089597382
54.235;-0.101564467
54.236;-0.110554211
54.237;-0.113306522
54.238;-0.114593245
54.239;-0.113652728
54.24;-0.109071307
54.241;-0.101068243
54.242;-0.090595596
54.243;-0.077491805
54.244;-0.060147028
54.245;-0.04157323
54.246;-0.020350976
54.247;0.000501995
54.248;0.020547157
54.249;0.040563472
54.25;0.057740919
54.251;0.072696894
54.252;0.085794911
54.253;0.095130861
54.254;0.09931992
54.255;0.100225814
54.256;0.097513892
54.257;0.087883674
54.258;0.076701313
54.259;0.065334305
54.26;0.051895853
54.261;0.041769411
54.262;0.032069951
54.263;0.024009189
54.264;0.013900057
54.265;0.007449138
54.266;0.003029278
54.267;0.001679085
54.268;0.004033267
54.269;0.006727881
54.27;0.009964881
54.271;0.013651945
54.272;0.019093104
54.273;0.0251632
54.274;0.030512039
54.275;0.036968727
54.276;0.042704161
54.277;0.045889229
54.278;0.049530134
54.279;0.051030345
54.28;0.051693901
54.281;0.051965095
54.282;0.049524363
54.283;0.046420075
54.284;0.044077434
54.285;0.040857743
54.286;0.035491593
54.287;0.033016242
54.288;0.029144537
54.289;0.024228452
54.29;0.021176094
54.291;0.019491239
54.292;0.016502351
54.293;0.014078929
54.294;0.012169042
54.295;0.012370993
54.296;0.011009261
54.297;0.00990718
54.298;0.010339934
54.299;0.009728309
54.3;0.010813079
54.301;0.011153512
54.302;0.010443795
54.303;0.007270266
54.304;0.006070096
54.305;0.002527283
54.306;0.000473144
54.307;-0.005279598
54.308;-0.010634207
54.309;-0.018775752
54.31;-0.024690056
54.311;-0.026623024
54.312;-0.026634563
54.313;-0.026894215
54.314;-0.02521513
54.315;-0.022653228
54.316;-0.019231586
54.317;-0.011165052
54.318;-0.004177518
54.319;0.004864154
54.32;0.012278672
54.321;0.021164553
54.322;0.026703805
54.323;0.032445006
54.324;0.035601225
54.325;0.036668684
54.326;0.033604786
54.327;0.027823195
54.328;0.01748326
54.329;0.003110058
54.33;-0.014361661
54.331;-0.03191993
54.332;-0.050176378
54.333;-0.066846058
54.334;-0.08314646
54.335;-0.100583561
54.336;-0.113629647
54.337;-0.120611414
54.338;-0.124154225
54.339;-0.123946503
54.34;-0.121003777
54.341;-0.113739282
54.342;-0.101639479
54.343;-0.083648458
54.344;-0.064087972
54.345;-0.043084983
54.346;-0.024205372
54.347;-0.005152657
54.348;0.010114903
54.349;0.02408997
54.35;0.033956759
54.351;0.038665123
54.352;0.040165339
54.353;0.037476491
54.354;0.031273685
54.355;0.022687847
54.356;0.015434891
54.357;0.007108705
54.358;-0.001454053
54.359;-0.01197286
54.36;-0.021649238
54.361;-0.028579071
54.362;-0.032364227
54.363;-0.034210641
54.364;-0.031948783
54.365;-0.02947343
54.366;-0.025595954
54.367;-0.019410457
54.368;-0.012671036
54.369;-0.006445149
54.37;-0.000761647
54.371;0.004200598
54.372;0.011522795
54.373;0.018169897
54.374;0.02293019
54.375;0.027119247
54.376;0.028538682
54.377;0.028105928
54.378;0.028504061
54.379;0.030985184
54.38;0.033979841
54.381;0.036830246
54.382;0.038376622
54.383;0.039415229
54.384;0.040205728
54.385;0.039634492
54.386;0.038976707
54.387;0.035687774
54.388;0.031937242
54.389;0.028290568
54.39;0.024038039
54.391;0.017956404
54.392;0.012578715
54.393;0.006456689
54.394;0.000594315
54.395;-0.001523294
54.396;-0.001759866
54.397;0.000236572
54.398;0.005972004
54.399;0.012330603
54.4;0.019797051
54.401;0.028959895
54.402;0.039397921
54.403;0.049091607
54.404;0.058762219
54.405;0.067746192
54.406;0.075131856
54.407;0.080457613
54.408;0.082315572
54.409;0.082852185
54.41;0.083498433
54.411;0.077082135
54.412;0.069840722
54.413;0.058081351
54.414;0.045560338
54.415;0.033137415
54.416;0.021516526
54.417;0.010449566
54.418;-0.001580994
54.419;-0.011343923
54.42;-0.01977974
54.421;-0.024407323
54.422;-0.024718907
54.423;-0.021089543
54.424;-0.017073587
54.425;-0.010363014
54.426;0
54.427;0.010086052
54.428;0.021504987
54.429;0.03280852
54.43;0.045035262
54.431;0.05579064
54.432;0.065622807
54.433;0.072737284
54.434;0.07911896
54.435;0.083942726
54.436;0.084513962
54.437;0.079505555
54.438;0.073418148
54.439;0.065374695
54.44;0.055052072
54.441;0.043950491
54.442;0.033108562
54.443;0.023085982
54.444;0.012976849
54.445;0.001627155
54.446;-0.008631999
54.447;-0.016577361
54.448;-0.022820558
54.449;-0.026663413
54.45;-0.029288787
54.451;-0.027875125
54.452;-0.025382463
54.453;-0.021603078
54.454;-0.016854323
54.455;-0.015279099
54.456;-0.013438453
54.457;-0.013790426
54.458;-0.01416548
54.459;-0.017587122
54.46;-0.024424633
54.461;-0.03402023
54.462;-0.046408534
54.463;-0.058617964
54.464;-0.069350265
54.465;-0.079413235
54.466;-0.087456688
54.467;-0.095800184
54.468;-0.101760648
54.469;-0.105493873
54.47;-0.108863585
54.471;-0.111598589
54.472;-0.112458326
54.473;-0.112989172
54.474;-0.110340722
54.475;-0.105557345
54.476;-0.099920005
54.477;-0.091951564
54.478;-0.081986681
54.479;-0.067971222
54.48;-0.049910955
54.481;-0.028786793
54.482;-0.008718549
54.483;0.012671036
54.484;0.031989172
54.485;0.050539892
54.486;0.067688487
54.487;0.084110059
54.488;0.097790852
54.489;0.105695829
54.49;0.113087267
54.491;0.116491593
54.492;0.115054853
54.493;0.11072731
54.494;0.103728235
54.495;0.094248042
54.496;0.081732795
54.497;0.070065752
54.498;0.057810158
54.499;0.046818208
54.5;0.034943439
54.501;0.024851616
54.502;0.016548511
54.503;0.01201325
54.504;0.011141972
54.505;0.008406967
54.506;0.008966662
54.507;0.010639978
54.508;0.013957758
54.509;0.019416228
54.51;0.022347415
54.511;0.026467232
54.512;0.031221755
54.513;0.032975852
54.514;0.037632283
54.515;0.039144039
54.516;0.040915444
54.517;0.041100085
54.518;0.04036729
54.519;0.039097879
54.52;0.03821506
54.521;0.035353113
54.522;0.031983402
54.523;0.030563969
54.524;0.027955905
54.525;0.026467232
54.526;0.022872489
54.527;0.018383387
54.528;0.013801966
54.529;0.00871278
54.53;0.005527711
54.531;0.000444294
54.532;-0.004212139
54.533;-0.006162416
54.534;-0.008360807
54.535;-0.01096887
54.536;-0.011730517
54.537;-0.010761148
54.538;-0.010403405
54.539;-0.011568956
54.54;-0.013530774
54.541;-0.015077148
54.542;-0.017102437
54.543;-0.018977704
54.544;-0.021424206
54.545;-0.02286095
54.546;-0.026778815
54.547;-0.028117467
54.548;-0.029334947
54.549;-0.028140547
54.55;-0.029981194
54.551;-0.030581279
54.552;-0.030996723
54.553;-0.029438809
54.554;-0.026397992
54.555;-0.021874269
54.556;-0.01628886
54.557;-0.009722539
54.558;-0.004696823
54.559;0.001627155
54.56;0.009128223
54.561;0.012896067
54.562;0.016023437
54.563;0.017875623
54.564;0.017898703
54.565;0.014996368
54.566;0.013028779
54.567;0.008891651
54.568;0.00547578
54.569;0.000617396
54.57;-0.000513535
54.571;-0.002671534
54.572;-0.00439101
54.573;-0.0065894
54.574;-0.005654652
54.575;-0.0043737
54.576;-0.002400342
54.577;-0.000230802
54.578;-0.001534834
54.579;-0.002342641
54.58;-0.002486893
54.581;-0.003831315
54.582;0.000340433
54.583;0.002348411
54.584;0.000317353
54.585;-0.002515743
54.586;-0.006912523
54.587;-0.009982191
54.588;-0.01534834
54.589;-0.020518307
54.59;-0.027476991
54.591;-0.033495158
54.592;-0.039345991
54.593;-0.042484898
54.594;-0.046016172
54.595;-0.046218123
54.596;-0.041925203
54.597;-0.037222609
54.598;-0.03063898
54.599;-0.021124164
54.6;-0.011863229
54.601;-0.00324277
54.602;0.007397207
54.603;0.015290639
54.604;0.021285724
54.605;0.028792564
54.606;0.036922567
54.607;0.04040191
54.608;0.04250221
54.609;0.04063271
54.61;0.037730373
54.611;0.031285226
54.612;0.027217338
54.613;0.019745121
54.614;0.013778886
54.615;0.006162416
54.616;0.000894358
54.617;-0.005579641
54.618;-0.009180154
54.619;-0.012688346
54.62;-0.014748255
54.621;-0.012832597
54.622;-0.010455335
54.623;-0.007853041
54.624;-0.003871705
54.625;0.001932968
54.626;0.006058556
54.627;0.013501924
54.628;0.021545377
54.629;0.028752172
54.63;0.037955407
54.631;0.045317993
