Tempo;Acel
125.824;1.691410184
125.825;1.490271926
125.826;1.371945381
125.827;1.210095406
125.828;1.169364691
125.829;1.189652205
125.83;1.2359972
125.831;1.297811747
125.832;1.481997609
125.833;1.651389122
125.834;1.693095088
125.835;1.634702086
125.836;1.454889894
125.837;1.063686132
125.838;0.603310943
125.839;-0.164261863
125.84;-1.093609691
125.841;-2.10063386
125.842;-3.156293869
125.843;-4.357001305
125.844;-5.512858391
125.845;-6.539344788
125.846;-7.433489799
125.847;-7.995429516
125.848;-8.337265015
125.849;-8.518992424
125.85;-8.419707298
125.851;-8.132254601
125.852;-7.717999458
125.853;-7.29514122
125.854;-6.782217979
125.855;-6.285353184
125.856;-5.811170101
125.857;-5.341002941
125.858;-4.989531994
125.859;-4.764026642
125.86;-4.427955627
125.861;-4.073034286
125.862;-3.932706356
125.863;-3.756696701
125.864;-3.648802519
125.865;-3.697016954
125.866;-3.779869318
125.867;-4.087332249
125.868;-4.478564739
125.869;-4.880495071
125.87;-5.285523891
125.871;-5.609270096
125.872;-5.885026932
125.873;-6.062300205
125.874;-6.085968971
125.875;-5.901777267
125.876;-5.584032059
125.877;-5.209970951
125.878;-4.784146786
125.879;-4.227088928
125.88;-3.764128447
125.881;-3.379537106
125.882;-3.137339354
125.883;-3.029577732
125.884;-3.105800152
125.885;-3.291128397
125.886;-3.735330105
125.887;-4.308567524
125.888;-4.878873825
125.889;-5.52848959
125.89;-6.236463547
125.891;-6.885444164
125.892;-7.563483238
125.893;-8.15954113
125.894;-8.670156479
125.895;-9.040501595
125.896;-9.411083221
125.897;-9.677428246
125.898;-9.774601936
125.899;-9.788126945
125.9;-9.72601223
125.901;-9.439188957
125.902;-9.023785591
125.903;-8.508917809
125.904;-7.640576839
125.905;-6.801790237
125.906;-5.857434273
125.907;-4.883391857
125.908;-4.00129509
125.909;-3.167730093
125.91;-2.576149702
125.911;-2.09585619
125.912;-1.633634686
125.913;-1.533322215
125.914;-1.485511661
125.915;-1.36362505
125.916;-1.491195083
125.917;-1.355627775
125.918;-1.317874312
125.919;-1.082513809
125.92;-0.860839963
125.921;-0.361314923
125.922;0.012878758
125.923;0.629253089
125.924;1.278741837
125.925;1.932113647
125.926;2.539723396
125.927;3.243237019
125.928;3.862698317
125.929;4.419064045
125.93;4.911001682
125.931;5.404952526
125.932;5.717297077
125.933;5.958981514
125.934;6.14434433
125.935;6.178341866
125.936;6.184538841
125.937;6.002551079
125.938;5.665412903
125.939;5.234972477
125.94;4.697809696
125.941;3.981140137
125.942;3.242665768
125.943;2.51722002
125.944;1.885589719
125.945;1.322859645
125.946;0.969570816
125.947;0.881254375
125.948;0.897018194
125.949;1.207198858
125.95;1.462846875
125.951;2.030245066
125.952;2.584545135
125.953;3.185750008
125.954;3.733466387
125.955;4.239967346
125.956;4.686367512
125.957;4.980588436
125.958;5.295731544
125.959;5.548044205
125.96;5.670882702
125.961;5.709276676
125.962;5.814182281
125.963;5.848029137
125.964;5.842288017
125.965;5.831746101
125.966;5.833858013
125.967;5.795446873
125.968;5.808492661
125.969;5.760053158
125.97;5.802809238
125.971;5.895383835
125.972;6.053420067
125.973;6.174620152
125.974;6.465517044
125.975;6.820715904
125.976;7.206351757
125.977;7.709096432
125.978;8.211119652
125.979;8.765529633
125.98;9.100463867
125.981;9.513536453
125.982;9.65250206
125.983;9.424803734
125.984;9.442656517
125.985;8.724798203
125.986;8.23777771
125.987;7.466292381
125.988;6.639311314
125.989;5.770427704
125.99;4.940561295
125.991;4.214885235
125.992;3.384066582
125.993;2.897985935
125.994;2.415344
125.995;1.928974748
125.996;1.639964342
125.997;1.465483785
125.998;1.297107816
125.999;1.282578826
126;1.232898712
126.001;1.314042926
126.002;1.354744911
126.003;1.620311618
