Tempo;Acel
57.664;-0.087554783
57.665;-0.11991901
57.666;-0.149352044
57.667;-0.162409678
57.668;-0.179621741
57.669;-0.181196973
57.67;-0.158209071
57.671;-0.160292059
57.672;-0.135475069
57.673;-0.139623731
57.674;-0.129606918
57.675;-0.139923781
57.676;-0.135561615
57.677;-0.144961029
57.678;-0.140748903
57.679;-0.124067672
57.68;-0.099614188
57.681;-0.084594741
57.682;-0.050568741
57.683;-0.062530063
57.684;-0.036051288
57.685;-0.052218977
57.686;-0.055421356
57.687;-0.056200314
57.688;-0.058727596
57.689;-0.048901197
57.69;-0.044758298
57.691;-0.031302538
57.692;-0.022797478
57.693;-0.022508975
57.694;0.00222724
57.695;0.002815786
57.696;-0.001430973
57.697;-0.002411882
57.698;-0.003035048
57.699;-0.005793133
57.7;-0.011799758
57.701;-0.016663913
57.702;-0.020512538
57.703;-0.01422895
57.704;-0.017344778
57.705;-0.047325972
57.706;-0.063735999
57.707;-0.111021586
57.708;-0.140818134
57.709;-0.169402972
57.71;-0.182795271
57.711;-0.193614125
57.712;-0.18743439
57.713;-0.1844455
57.714;-0.172847703
57.715;-0.190988749
57.716;-0.20138061
57.717;-0.217184782
57.718;-0.217732936
57.719;-0.220185205
57.72;-0.212978423
57.721;-0.192460105
57.722;-0.161717266
57.723;-0.144326329
57.724;-0.132595807
57.725;-0.128158644
57.726;-0.130160853
57.727;-0.129906967
57.728;-0.133830607
57.729;-0.15029256
57.73;-0.138412029
57.731;-0.141343206
57.732;-0.128949136
57.733;-0.111933254
57.734;-0.104691833
57.735;-0.100762434
57.736;-0.089043453
57.737;-0.085685283
57.738;-0.086741202
57.739;-0.082563683
57.74;-0.077895708
57.741;-0.056436885
57.742;-0.023443725
57.743;-0.012705656
57.744;0.016594673
57.745;0.044827539
57.746;0.043356176
57.747;0.058040962
57.748;0.044163983
57.749;0.031925701
57.75;0.028838724
57.751;0.026882676
57.752;0.030413948
57.753;0.032335375
57.754;0.031989172
57.755;0.019058485
57.756;0.008343496
57.757;-0.008124234
57.758;-0.039674882
57.759;-0.064145677
57.76;-0.073556632
57.761;-0.066771053
57.762;-0.058450636
57.763;-0.049362801
57.764;-0.025884457
57.765;-0.013565394
57.766;0.003150449
57.767;0.006929833
57.768;0.022318564
57.769;0.040257659
57.77;0.045975782
