Freq;Ampl;Phase
0;0.069230795;3.141592741
0.1953125;8.813509941;0.559746087
0.390625;8.496047974;-0.028868647
0.5859375;7.430345058;-0.266777217
0.78125;6.546003819;-0.40826872
0.9765625;5.782516479;-0.486359268
1.171875;5.171106339;-0.526022255
1.3671875;4.690815926;-0.541270614
1.5625;4.315035343;-0.537876248
1.7578125;4.026669979;-0.523422778
1.953125;3.816824198;-0.498774856
2.1484375;3.675396204;-0.465728402
2.34375;3.605181217;-0.426813543
2.5390625;3.619706631;-0.386393338
2.734375;3.764908791;-0.301063746
2.9296875;4.376925945;-0.224646404
3.125;6.990912437;-0.182886943
3.3203125;19.1263504;-2.116677046
3.515625;1.01996243;-1.216833949
3.7109375;1.644975901;-0.669571698
3.90625;1.956254125;-0.474198163
4.1015625;2.209001541;-0.436966151
4.296875;2.351276636;-0.393063337
4.4921875;2.482636929;-0.35097748
4.6875;2.677553415;-0.3024382
4.8828125;2.935617447;-0.288116693
5.078125;3.202856541;-0.287209332
5.2734375;3.524386168;-0.276151747
5.46875;3.973142624;-0.269284189
5.6640625;4.698528767;-0.271334559
5.859375;5.946286201;-0.331734926
6.0546875;6.977863789;-0.380738139
6.25;10.71013165;-0.491406709
6.4453125;19.94490433;-0.933018088
6.640625;19.51861954;-2.10931468
6.8359375;8.554076195;-2.985013962
7.03125;4.589096069;-3.004158974
7.2265625;2.892539024;-2.973937511
7.421875;2.03433013;-2.921939373
7.6171875;1.442851305;-2.872294664
7.8125;1.01171422;-2.777527571
8.0078125;0.690560818;-2.599856853
8.203125;0.512632489;-2.214105368
8.3984375;0.454167157;-1.909596443
8.59375;0.385330886;-1.457243562
8.7890625;0.460172027;-1.031505108
8.984375;0.584417343;-0.831887484
9.1796875;0.697302461;-0.797605395
9.375;0.711589575;-0.739723027
9.5703125;0.79021436;-0.648548961
9.765625;0.766148925;-0.694234908
9.9609375;0.695183814;-0.281916291
10.15625;1.033247709;-0.214642465
10.3515625;1.126989841;-0.23025246
10.546875;1.226495981;-0.239174053
10.7421875;1.302261353;-0.219965145
10.9375;1.392112851;-0.195564285
11.1328125;1.479647398;-0.179276586
11.328125;1.561828852;-0.153756946
11.5234375;1.652272224;-0.125631556
11.71875;1.883461952;-0.0843485
11.9140625;2.179242373;-0.150290549
12.109375;2.155180931;-0.328499377
12.3046875;1.94010365;-0.286038846
12.5;1.996259928;-0.237512365
