Tempo;Acel
0;-0.00978601
0.001;-0.007962673
0.002;-0.006733652
0.003;-0.004535262
0.004;-0.003814005
0.005;-0.002688845
0.006;-0.000703946
0.007;0.001823337
0.008;0.004212139
0.009;0.006768272
0.01;0.007922282
0.011;0.006883673
0.012;0.005787363
0.013;0.004898775
0.014;0.006750962
0.015;0.009497507
0.016;0.011742057
0.017;0.013559624
0.018;0.012272902
0.019;0.009382105
0.02;0.008626229
0.021;0.008003063
0.022;0.008205015
0.023;0.008135774
0.024;0.00874163
0.025;0.010057202
0.026;0.011286223
0.027;0.010813079
0.028;0.007956902
0.029;0.006116256
0.03;0.006473999
0.031;0.006214347
0.032;0.008545448
0.033;0.009335945
0.034;0.007149095
0.035;0.002723465
0.036;-0.003877475
0.037;-0.008112694
0.038;-0.009399416
0.039;-0.009434036
0.04;-0.009180154
0.041;-0.010634207
0.042;-0.012763357
0.043;-0.014505913
0.044;-0.014794415
0.045;-0.014396282
0.046;-0.013830816
0.047;-0.011747828
0.048;-0.011038111
0.049;-0.010726528
0.05;-0.011672816
0.051;-0.011159282
0.052;-0.011367003
0.053;-0.009716769
0.054;-0.009647529
0.055;-0.008164625
0.056;-0.008256946
0.057;-0.00769725
0.058;-0.005764283
0.059;-0.006664411
0.06;-0.00548732
0.061;-0.005787363
0.062;-0.005516171
0.063;-0.001344422
0.064;0.001263642
0.065;0.002313791
0.066;0.003756304
0.067;0.005625802
0.068;0.005816213
0.069;0.009370565
0.07;0.01303455
0.071;0.015100228
0.072;0.014938666
0.073;0.017690981
0.074;0.016179228
0.075;0.014453982
0.076;0.016513892
0.077;0.01644465
0.078;0.015163698
0.079;0.016756233
0.08;0.015902266
0.081;0.010789999
0.082;0.010489956
0.083;0.010409175
0.084;0.005920074
0.085;0.003571663
0.086;0.001621385
0.087;-0.001494444
0.088;-0.004056347
0.089;-0.002896566
0.09;-0.004610272
0.091;-0.006947143
0.092;-0.006970224
0.093;-0.009537897
0.094;-0.011609346
0.095;-0.008060764
0.096;-0.007385667
0.097;-0.009318635
0.098;-0.007172176
0.099;-0.008205015
0.1;-0.00986679
0.101;-0.008337726
0.102;-0.004673743
0.103;-0.006352828
0.104;-0.005850833
0.105;-0.004754523
0.106;-0.005775823
0.107;-0.004264069
0.108;-0.002948497
0.109;-0.005735432
0.11;-0.007495299
0.111;-0.006768272
0.112;-0.008383887
0.113;-0.008643539
0.114;-0.006260507
0.115;-0.005787363
0.116;-0.007154865
0.117;-0.006710571
0.118;-0.006197037
0.119;-0.008014604
0.12;-0.003848625
0.121;-0.000594315
0.122;0.001009759
0.123;0.002094529
0.124;0.003156219
0.125;0.001454053
0.126;0.002129149
0.127;0.005394999
0.128;0.005729662
0.129;0.007160636
0.13;0.008626229
0.131;0.006774042
0.132;0.007552999
0.133;0.007904972
0.134;0.007899202
0.135;0.008274255
0.136;0.009936031
0.137;0.008937811
0.138;0.009370565
0.139;0.009693689
0.14;0.008072304
0.141;0.007287577
0.142;0.009584057
0.143;0.010074512
0.144;0.007824192
0.145;0.008078074
0.146;0.007143325
0.147;0.003138909
0.148;0.00109054
0.149;-0.001540604
0.15;-0.002019519
0.151;-0.004206368
0.152;-0.006358598
0.153;-0.009168614
0.154;-0.011459325
0.155;-0.011632427
0.156;-0.013703875
0.157;-0.013830816
0.158;-0.014113549
0.159;-0.01531949
0.16;-0.017160136
0.161;-0.015850335
0.162;-0.014090469
0.163;-0.012746046
0.164;-0.011297763
0.165;-0.010028352
0.166;-0.009099374
0.167;-0.006277817
0.168;-0.004142898
0.169;-0.002048369
0.17;-0.0011367
0.171;-0.000473144
0.172;0.000201952
0.173;0.001748326
0.174;0.006300898
0.175;0.009335945
