Deslocamento;Massa
0.2;0.16777
0.206;0.46748
0.2125;0.76724
0.2185;1.06703
0.227;1.47775
0.232;1.69898
0.236;1.92198
0.246;2.3912
0.237;1.92198
0.2325;1.69898
0.228;1.47775
0.219;1.06703
0.2135;0.76724
0.2075;0.46748
0.201;0.16777
