Freq;Ampl;Phase
0;0.670453608;0
0.1953125;18.34297562;0.497900486
0.390625;16.40865898;-0.100772895
0.5859375;13.96062088;-0.337243468
0.78125;12.04167938;-0.466951579
0.9765625;10.45737839;-0.536099195
1.171875;9.1682024;-0.57006073
1.3671875;8.167284966;-0.578199744
1.5625;7.359167099;-0.573617756
1.7578125;6.714893341;-0.557998776
1.953125;6.193065643;-0.536985099
2.1484375;5.768512726;-0.5106951
2.34375;5.426040173;-0.484181881
2.5390625;5.152710915;-0.457131565
2.734375;4.941349506;-0.430487692
2.9296875;4.791136265;-0.405650288
3.125;4.70424509;-0.384563327
3.3203125;4.677456379;-0.367343992
3.515625;4.734442711;-0.355271906
3.7109375;4.901464939;-0.34969458
3.90625;5.222900391;-0.351674497
4.1015625;5.806629658;-0.364449531
4.296875;6.889478683;-0.390506029
4.4921875;9.148312569;-0.440523177
4.6875;15.71955681;-0.554398298
4.8828125;79.46848297;-1.503852963
5.078125;13.9172945;2.833655119
5.2734375;6.071670532;2.724224806
5.46875;3.591069221;2.654669762
5.6640625;2.370982647;2.587883711
5.859375;1.649559617;2.513898611
6.0546875;1.162371635;2.423677921
6.25;0.812916756;2.301314354
6.4453125;0.54893142;2.107009411
6.640625;0.359355539;1.749101639
6.8359375;0.280250788;1.102206826
7.03125;0.335201472;0.482093036
7.2265625;0.462089568;0.147294372
7.421875;0.609811127;-0.020186542
7.6171875;0.762442112;-0.112587601
7.8125;0.926762998;-0.164993346
8.0078125;1.115187407;-0.230468124
8.203125;1.212519407;-0.275159866
8.3984375;1.358698368;-0.28468582
8.59375;1.493775249;-0.293127149
8.7890625;1.625721097;-0.297548741
8.984375;1.75405407;-0.297478288
9.1796875;1.877606988;-0.293769598
9.375;1.996530056;-0.287535906
9.5703125;2.116478682;-0.276351154
9.765625;2.237994671;-0.275138468
9.9609375;2.343948364;-0.26792872
10.15625;2.426480532;-0.252619743
10.3515625;2.519697428;-0.234548673
10.546875;2.615581989;-0.215535238
10.7421875;2.708538294;-0.195637509
10.9375;2.804568291;-0.17680189
11.1328125;2.895999193;-0.155387655
11.328125;2.99297452;-0.135161281
11.5234375;3.084465504;-0.111874342
11.71875;3.183277845;-0.085403219
11.9140625;3.294639349;-0.060970183
12.109375;3.419879198;-0.031649884
12.3046875;3.599349499;0.000245178
12.5;3.830233574;0.028854659
12.6953125;4.261706829;0.043458439
12.890625;4.600122452;-0.069893748
13.0859375;4.411734104;-0.118697166
13.28125;4.354776382;-0.097139582
13.4765625;4.46285677;-0.077630483
13.671875;4.621526241;-0.0698843
13.8671875;4.836318016;-0.069437318
14.0625;5.089998722;-0.081635907
14.2578125;5.222672939;-0.127729505
14.453125;5.174099445;-0.110210605
14.6484375;5.567392826;-0.111306354
14.84375;5.807927132;-0.116104834
15.0390625;6.175264359;-0.129878342
15.234375;6.588131905;-0.144439459
15.4296875;7.005388737;-0.16070272
15.625;7.516459942;-0.18249616
15.8203125;8.130840302;-0.202817813
16.015625;8.858608246;-0.222063303
16.2109375;9.775431633;-0.246248886
16.40625;10.97523499;-0.274835646
16.6015625;12.54827404;-0.305802226
16.796875;14.73564243;-0.346847147
16.9921875;17.93421364;-0.406054884
17.1875;22.88983154;-0.492418677
17.3828125;31.38612747;-0.635858595
17.578125;48.11056519;-0.916748703
17.7734375;81.48171997;-1.628655791
17.96875;51.12465668;-2.8390553
18.1640625;25.51914597;-3.02667594
18.359375;17.3377018;-3.073232412
18.5546875;13.04987526;-3.103007793
18.75;10.38164902;-3.124417782
18.9453125;8.496565819;-3.139215946
19.140625;7.092268467;3.138875008
19.3359375;6.033774376;3.139038086
19.53125;5.200643063;3.139095783
19.7265625;4.563420773;-3.125618696
19.921875;4.016264439;-3.124248266
20.1171875;3.581811428;-3.114813328
20.3125;3.206986189;-3.108569622
20.5078125;2.880511999;-3.105215311
20.703125;2.601145744;-3.10431838
20.8984375;2.336208344;-3.104426384
21.09375;2.136034966;-3.095832348
21.2890625;1.952781796;-3.114490986
21.484375;1.765021801;-3.129127264
21.6796875;1.595746279;3.134029627
21.875;1.426869273;3.105583906
22.0703125;1.259145975;3.077589512
22.265625;1.085745692;3.05144453
22.4609375;0.911992729;3.08107233
22.65625;0.865266681;-3.07612133
22.8515625;0.807349145;3.138406038
23.046875;0.775717318;3.105807781
23.2421875;0.72257787;3.026878595
23.4375;0.653701305;2.934256554
23.6328125;0.57502383;2.821508884
23.828125;0.493238747;2.700354338
24.0234375;0.414063573;2.597198248
