Freq;Ampl;Phase;Cohe
0;2.457923412;0;0.991966486
0.244140625;1.909425735;-0.374297321;0.932442248
0.48828125;1.244254947;-0.335359335;0.884002984
0.732421875;1.191996813;-0.175601825;0.907334387
0.9765625;1.163299799;-0.085934713;0.930093825
1.220703125;1.173881769;-0.015650794;0.946053445
1.46484375;1.200465202;0.051812585;0.95793891
1.708984375;1.23735106;0.101016663;0.967770338
1.953125;1.29480803;0.143732563;0.974789262
2.197265625;1.363734365;0.185136467;0.97977525
2.44140625;1.451916337;0.218031213;0.983673751
2.685546875;1.55765748;0.248696372;0.986614048
2.9296875;1.699966669;0.275674641;0.989302337
3.173828125;1.875824332;0.296102434;0.991089284
3.41796875;2.107658625;0.311818808;0.992758632
3.662109375;2.412204981;0.322090179;0.994107544
3.90625;2.833980322;0.327569872;0.995246232
4.150390625;3.445727348;0.327165902;0.996027946
4.39453125;4.397282124;0.315968215;0.996611297
4.638671875;6.046382904;0.290090173;0.996953487
4.8828125;9.507473946;0.234959692;0.997085929
5.126953125;20.83647919;0.087803192;0.996970892
5.37109375;69.55209351;-2.211794376;0.997900069
5.615234375;14.02625179;-2.706137419;0.998539209
5.859375;7.966881275;-2.773784637;0.998373985
6.103515625;5.652294159;-2.816053629;0.998163521
6.34765625;4.432343006;-2.853969336;0.997960925
6.591796875;3.676419735;-2.88978672;0.997757196
6.8359375;3.156514883;-2.924100161;0.997598946
7.080078125;2.777468681;-2.957561731;0.997457266
7.32421875;2.486647606;-2.988854408;0.997350335
7.568359375;2.249423027;-3.019649267;0.997440159
7.8125;2.05736208;-3.040747404;0.997959137
8.056640625;1.933375597;-3.075653553;0.997345924
8.30078125;1.788116336;-3.107591391;0.997524202
8.544921875;1.659564614;-3.135032177;0.997753382
8.7890625;1.540526748;3.114030361;0.997576475
9.033203125;1.395714283;3.098673105;0.997847378
9.27734375;1.318602204;3.096251488;0.99783355
9.521484375;1.227237582;3.075291634;0.997210205
9.765625;1.127375364;3.059042931;0.99711746
10.00976563;1.034280539;3.053970098;0.996701777
10.25390625;0.938507199;3.053051472;0.996097028
10.49804688;0.860411882;3.090458155;0.995266914
10.7421875;0.789603353;2.970995665;0.992648542
10.98632813;0.663509369;3.022489309;0.988121808
11.23046875;0.568664372;3.037305832;0.986132383
11.47460938;0.462566823;3.04206562;0.968800843
11.71875;0.356322348;3.045208216;0.939754009
11.96289063;0.236580119;3.118484735;0.834386051
12.20703125;0.116727233;-2.778351068;0.505642235
12.45117188;0.072738864;-1.160918236;0.163913965
12.6953125;0.195893556;-0.550752401;0.448297769
12.93945313;0.364940166;-0.620655954;0.574973941
13.18359375;0.445378721;-0.867133975;0.522340596
13.42773438;0.296585709;-0.165004268;0.314991772
13.671875;0.664943993;-0.113258168;0.87289834
13.91601563;0.916517794;-0.146168441;0.938812315
14.16015625;1.138341665;-0.225088835;0.969402552
14.40429688;1.352446198;-0.284272611;0.959434032
14.6484375;1.535157323;-0.196744516;0.972574413
14.89257813;1.794010282;-0.162917316;0.987386882
15.13671875;2.108090878;-0.147314653;0.991900504
15.38085938;2.514236689;-0.109297015;0.992732584
15.625;2.968778849;-0.114492089;0.995626569
15.86914063;3.501799583;-0.157657892;0.994823515
16.11328125;3.823029995;-0.159157932;0.996333063
16.35742188;4.39355135;-0.158381224;0.996800959
16.6015625;5.05027771;-0.160821021;0.997043908
16.84570313;5.804418087;-0.16052267;0.997420251
17.08984375;6.672949791;-0.163918391;0.997825861
17.33398438;7.722017765;-0.167039886;0.99799037
17.578125;9.057437897;-0.171715602;0.998293459
17.82226563;10.75437546;-0.181570441;0.998198748
18.06640625;12.99390125;-0.195828021;0.998309672
18.31054688;15.97988224;-0.221326932;0.998215675
18.5546875;20.31293869;-0.259175062;0.997795701
18.79882813;26.93553543;-0.321776152;0.997136831
19.04296875;37.95653915;-0.43070963;0.995942056
19.28710938;58.86156082;-0.637638092;0.993378937
19.53125;104.154129;-1.109201908;0.987828135
19.77539063;126.4542465;-2.375234842;0.976270139
20.01953125;56.4790802;-2.894962072;0.990452647
20.26367188;35.66273499;-2.996845007;0.994383037
20.5078125;26.60822868;-3.029751539;0.996598423
20.75195313;21.30960083;-3.05386281;0.997278452
20.99609375;17.77178001;-3.056372166;0.997918546
21.24023438;15.46853447;-3.049593925;0.998332322
21.484375;13.79140472;-3.052205324;0.998449862
21.72851563;12.40739536;-3.056293964;0.998433352
21.97265625;11.24404335;-3.056185007;0.998500586
22.21679688;10.30336857;-3.048229456;0.998638809
22.4609375;9.568252563;-3.036127567;0.998873711
22.70507813;8.978835106;-3.030487537;0.999058127
22.94921875;8.46916008;-3.028737783;0.999101222
23.19335938;7.985572338;-3.024386406;0.999091506
23.4375;7.582581043;-3.019779921;0.999040961
23.68164063;7.242134571;-3.022198439;0.999127805
23.92578125;6.83143425;-3.020263672;0.998926878
24.16992188;6.51160574;-3.011541128;0.998731256
24.4140625;6.266837597;-3.000953674;0.998727202
24.65820313;6.091340542;-2.983475208;0.998917162
24.90234375;6.220115662;-2.99299407;0.999348938
25.14648438;5.731117725;-3.090040445;0.998100877
25.390625;5.351486683;-3.054944754;0.998822033
25.63476563;5.221751213;-3.064159155;0.999296725
25.87890625;5.003963947;-3.093142033;0.999165654
26.12304688;4.685389042;-3.12910676;0.99843359
26.3671875;4.233882427;3.133443594;0.996816576
26.61132813;3.830292225;-3.112032413;0.996501744
26.85546875;3.66657567;-3.070682287;0.997294843
27.09960938;3.528853178;-3.052552223;0.997426033
27.34375;3.37050271;-3.045695543;0.997413397
27.58789063;3.203425407;-3.04012084;0.99735409
27.83203125;3.019854307;-3.029975176;0.997272372
28.07617188;2.836018324;-3.016997576;0.996401608
28.3203125;2.679183245;-2.992357731;0.996322036
28.56445313;2.544618607;-2.969720364;0.996346772
28.80859375;2.421133995;-2.96026516;0.996825218
29.05273438;2.275901318;-2.945617199;0.997024179
29.296875;2.13259697;-2.935620308;0.997448146
29.54101563;1.966734529;-2.948331356;0.997526884
29.78515625;1.699184418;-2.918668985;0.992774785
30.02929688;1.471202254;-2.780058861;0.987157404
30.2734375;1.647932887;-2.583862543;0.995986998
30.51757813;1.668218374;-2.788041353;0.993944705
30.76171875;1.348366737;-2.814441204;0.988525569
31.00585938;1.148788095;-2.750271082;0.986097097
31.25;0.948887527;-2.665507555;0.974151373
31.49414063;0.789765;-2.532935858;0.964922071
31.73828125;0.64095825;-2.339574814;0.948150933
31.98242188;0.553498745;-2.064119816;0.935512304
32.2265625;0.468258321;-1.691733599;0.910585105
32.47070313;0.477144718;-1.178974271;0.892964184
32.71484375;0.636164427;-0.750348747;0.9143309
32.95898438;0.915448666;-0.540135443;0.949363291
33.203125;1.258263111;-0.467236578;0.967460155
33.44726563;1.603712559;-0.472465008;0.980241418
33.69140625;1.923484206;-0.527953565;0.987766623
33.93554688;2.00024581;-0.626785696;0.994594395
34.1796875;1.844885111;-0.426970392;0.985450387
34.42382813;2.431324959;-0.297612548;0.989868343
34.66796875;2.887636423;-0.31417194;0.992557228
34.91210938;3.24651289;-0.328015238;0.994350374
35.15625;3.508135796;-0.324934483;0.995721757
35.40039063;3.764238119;-0.258897901;0.994726539
35.64453125;4.472568989;-0.187170908;0.992161989
35.88867188;5.181643963;-0.209461331;0.995598257
36.1328125;5.792273998;-0.219155982;0.997024834
36.37695313;6.465219498;-0.216510236;0.997692883
36.62109375;7.248507023;-0.212718591;0.997840226
36.86523438;8.198298454;-0.212418765;0.997627139
37.109375;9.272452354;-0.223526835;0.998105943
37.35351563;10.38232899;-0.236730859;0.998494029
37.59765625;11.69512367;-0.250145227;0.998621821
37.84179688;13.22665787;-0.265325308;0.998628318
38.0859375;14.99259949;-0.279861152;0.998531938
38.33007813;17.14910316;-0.296432137;0.998460889
38.57421875;19.85920143;-0.311389834;0.998482406
