Tempo;Acel
169.664;-0.231950343
169.665;-0.27329278
169.666;-0.319343567
169.667;-0.335141987
169.668;-0.353969663
169.669;-0.393084854
169.67;-0.412726104
169.671;-0.446261644
169.672;-0.462925553
169.673;-0.466976136
169.674;-0.496611118
169.675;-0.478597015
169.676;-0.510990083
169.677;-0.530365944
169.678;-0.539349914
169.679;-0.535091639
169.68;-0.541986823
169.681;-0.533308685
169.682;-0.527775168
169.683;-0.531560361
169.684;-0.512005627
169.685;-0.506662548
169.686;-0.472094178
169.687;-0.453531921
169.688;-0.452377915
169.689;-0.425500989
169.69;-0.42303142
169.691;-0.399056852
169.692;-0.364684641
169.693;-0.372999281
169.694;-0.322811365
169.695;-0.292085826
169.696;-0.269911528
169.697;-0.23882249
169.698;-0.244338647
169.699;-0.198085904
169.7;-0.187636346
169.701;-0.166125596
169.702;-0.156616539
169.703;-0.137927338
169.704;-0.115204871
169.705;-0.1004797
169.706;-0.094288431
169.707;-0.105897777
169.708;-0.115574159
169.709;-0.126219898
169.71;-0.127633572
169.711;-0.136490598
169.712;-0.163881034
169.713;-0.176898271
169.714;-0.174596027
169.715;-0.171780244
169.716;-0.162975132
169.717;-0.182477921
169.718;-0.1791486
169.719;-0.184959039
169.72;-0.178190768
169.721;-0.184676304
169.722;-0.183747336
169.723;-0.163765639
169.724;-0.166841075
169.725;-0.161861524
169.726;-0.178675458
169.727;-0.170487747
169.728;-0.172409177
169.729;-0.163909882
169.73;-0.155860662
169.731;-0.147326753
169.732;-0.135117322
169.733;-0.103722468
169.734;-0.07349316
169.735;-0.043869711
169.736;-0.022018522
169.737;0.007079855
169.738;0.04255414
169.739;0.068715557
169.74;0.10607665
169.741;0.132959321
169.742;0.162023082
169.743;0.203959823
169.744;0.223462597
169.745;0.267291933
169.746;0.291722327
169.747;0.315396845
169.748;0.333353251
169.749;0.348043799
169.75;0.349434406
169.751;0.353438824
169.752;0.360709071
169.753;0.374961108
169.754;0.376992166
169.755;0.387251318
169.756;0.380650371
169.757;0.389040023
169.758;0.370616257
169.759;0.365867496
169.76;0.357437462
169.761;0.327519745
169.762;0.331362575
169.763;0.313815862
169.764;0.305870503
169.765;0.300856322
169.766;0.250258714
169.767;0.22694771
169.768;0.184555143
169.769;0.159086123
169.77;0.139854535
169.771;0.10486494
169.772;0.100058481
169.773;0.080532625
169.774;0.067440376
169.775;0.055421356
169.776;0.049478203
169.777;0.050401412
169.778;0.03155642
169.779;0.05037256
169.78;0.016554281
169.781;0.045231443
169.782;0.037563045
169.783;0.050297551
169.784;0.090278246
169.785;0.080913447
169.786;0.111142755
169.787;0.116093464
169.788;0.129635781
169.789;0.149929047
169.79;0.143437743
169.791;0.161405683
169.792;0.147378683
169.793;0.138896704
169.794;0.136421353
169.795;0.110923491
169.796;0.124310017
169.797;0.105095744
169.798;0.111523576
169.799;0.097346559
169.8;0.095979057
169.801;0.11304687
169.802;0.102343425
169.803;0.137292638
169.804;0.132214993
169.805;0.139450639
169.806;0.156160712
169.807;0.151648521
169.808;0.144505203
169.809;0.102631927
169.81;0.091847703
169.811;0.058173671
169.812;0.032075722
169.813;0.021724248
169.814;-0.023501424
169.815;-0.03723415
169.816;-0.055854112
169.817;-0.084744766
169.818;-0.072535336
169.819;-0.117120534
169.82;-0.118897706
169.821;-0.149375126
169.822;-0.150500283
169.823;-0.15565294
169.824;-0.170822412
169.825;-0.149542451
169.826;-0.161624953
169.827;-0.136750251
169.828;-0.142895356
169.829;-0.111142755
169.83;-0.102418438
169.831;-0.081957832
169.832;-0.060897138
169.833;-0.047833737
169.834;-0.054405827
169.835;-0.037216838
169.836;-0.072437242
169.837;-0.045560338
169.838;-0.06757886
169.839;-0.076418579
169.84;-0.082580991
169.841;-0.103405118
169.842;-0.100947075
169.843;-0.110721543
169.844;-0.112423711
169.845;-0.085125588
169.846;-0.093492165
169.847;-0.056581136
169.848;-0.061035618
169.849;-0.033166263
169.85;-0.033754807
169.851;-0.031902622
169.852;-0.035918579
169.853;-0.031417936
169.854;-0.043633141
169.855;-0.04917239
169.856;-0.063078217
169.857;-0.052415159
169.858;-0.096908033
169.859;-0.082246333
169.86;-0.134055629
169.861;-0.141141266
